"filename", "language", "XML", "C++", "ROS Message", "Python", "YAML", "Makefile", "Shell Script", "pip requirements", "Perl", "CMake", "Markdown", "JSON", "Java", "XSL", "Objective-C", "LinkerScript", "C", "ARM", "Properties", "Diff", "Ini", "Batch", "HTML", "CSS", "Visual Basic", "PHP", "DSDL", "Jupyter", "comment", "blank", "total"
"/home/bob/pix4/Firmware/.circleci/config.yml", "YAML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/home/bob/pix4/Firmware/.github/ISSUE_TEMPLATE/1_Bug_report.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"/home/bob/pix4/Firmware/.github/ISSUE_TEMPLATE/2_Feature_request.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/home/bob/pix4/Firmware/.github/ISSUE_TEMPLATE/3_Support_question.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/home/bob/pix4/Firmware/.github/ISSUE_TEMPLATE/4_Documentation_issue.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/home/bob/pix4/Firmware/.github/stale.yml", "YAML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 16
"/home/bob/pix4/Firmware/.github/workflows/ccpp.yml", "YAML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/bob/pix4/Firmware/.travis.yml", "YAML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"/home/bob/pix4/Firmware/.ycm_extra_conf.py", "Python", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 23, 173
"/home/bob/pix4/Firmware/CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 47
"/home/bob/pix4/Firmware/CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 45
"/home/bob/pix4/Firmware/CTestConfig.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/bob/pix4/Firmware/Makefile", "Makefile", 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 91, 488
"/home/bob/pix4/Firmware/PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/home/bob/pix4/Firmware/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 97
"/home/bob/pix4/Firmware/Tools/CTest2JUnit.xsl", "XSL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 121
"/home/bob/pix4/Firmware/Tools/HIL/monitor_firmware_upload.py", "Python", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 56
"/home/bob/pix4/Firmware/Tools/HIL/run_nsh_cmd.py", "Python", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 78
"/home/bob/pix4/Firmware/Tools/HIL/run_tests.py", "Python", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 111
"/home/bob/pix4/Firmware/Tools/Matlab/ellipsoid_fit.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 175
"/home/bob/pix4/Firmware/Tools/Matlab/motors.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 59
"/home/bob/pix4/Firmware/Tools/Matlab/plot_mag.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 78
"/home/bob/pix4/Firmware/Tools/astyle/check_code_style.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24
"/home/bob/pix4/Firmware/Tools/astyle/check_code_style_all.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 68
"/home/bob/pix4/Firmware/Tools/astyle/files_to_check_code_style.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 21
"/home/bob/pix4/Firmware/Tools/astyle/fix_code_style.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"/home/bob/pix4/Firmware/Tools/boot_now.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 7, 60
"/home/bob/pix4/Firmware/Tools/check_submodules.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 86
"/home/bob/pix4/Firmware/Tools/dist/vehicle_configs.xml", "XML", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/home/bob/pix4/Firmware/Tools/docker_run.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 68
"/home/bob/pix4/Firmware/Tools/ecl_ekf/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bob/pix4/Firmware/Tools/ecl_ekf/analyse_logdata_ekf.py", "Python", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 33, 139
"/home/bob/pix4/Firmware/Tools/ecl_ekf/analysis/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bob/pix4/Firmware/Tools/ecl_ekf/analysis/checks.py", "Python", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 27, 144
"/home/bob/pix4/Firmware/Tools/ecl_ekf/analysis/detectors.py", "Python", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 32, 182
"/home/bob/pix4/Firmware/Tools/ecl_ekf/analysis/metrics.py", "Python", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 42, 184
"/home/bob/pix4/Firmware/Tools/ecl_ekf/analysis/post_processing.py", "Python", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 16, 143
